"hh_number","hh_size_1","hh_size_2","hh_size_3","hh_size_4","hh_size_5","hh_size_6","hh_size_7"
869,1,1,2,1,3,1,7
870,1,1,2,1,5,5,2
871,1,2,1,1,1,2,1
872,1,2,1,1,5,2,1
873,1,2,2,4,5,2,7
874,1,1,3,1,5,1,7
875,1,1,3,2,3,3,3
876,1,1,2,3,4,5,6
877,1,1,3,1,5,5,4
878,1,1,2,4,1,6,2
879,1,2,3,1,3,3,6
880,1,1,3,1,1,1,5
881,1,2,3,2,3,5,3
882,1,2,1,3,1,2,3
883,1,2,1,4,3,2,1
884,1,1,1,1,5,4,4
885,1,2,3,4,5,6,1
886,1,1,3,3,1,2,5
887,1,1,2,1,2,3,7
888,1,2,3,1,5,1,2
889,1,2,1,4,4,5,2
890,1,2,1,2,1,3,5
891,1,1,2,3,3,5,4
892,1,2,3,1,5,3,7
893,1,2,3,1,2,1,6
894,1,1,2,3,4,1,6
895,1,1,2,2,4,2,3
896,1,1,2,3,1,5,7
897,1,1,1,3,2,3,5
898,1,1,3,1,5,3,2
899,1,2,1,3,4,6,5
900,1,1,1,2,4,1,3
901,1,2,3,4,2,6,4
902,1,1,1,3,1,6,7
903,1,2,2,3,3,2,6
904,1,1,1,1,4,3,1
905,1,1,3,3,4,2,1
906,1,2,3,2,5,2,4
907,1,1,2,3,4,4,5
908,1,1,2,1,5,2,7
909,1,1,1,4,3,1,1
910,1,1,1,2,2,5,6
911,1,2,1,3,4,2,1
912,1,2,2,2,2,6,6
913,1,1,1,4,3,6,1
914,1,1,3,2,4,6,7
915,1,1,3,4,3,6,6
916,1,2,1,4,5,4,7
917,1,2,3,3,3,5,7
918,1,2,2,2,1,1,3
919,1,1,2,3,2,6,7
920,1,1,3,4,3,3,3
921,1,2,3,1,2,5,4
922,1,1,1,2,5,6,7
923,1,2,3,2,1,3,2
924,1,2,3,3,1,2,1
925,1,1,2,2,3,2,4
926,1,1,1,2,1,4,6
927,1,1,1,3,4,1,7
928,1,1,3,2,3,3,7
929,1,1,2,4,4,6,6
930,1,1,3,4,2,1,1
931,1,2,2,2,2,6,5
932,1,2,2,4,3,4,5
933,1,2,3,4,3,4,4
934,1,1,3,1,3,4,7
935,1,2,3,2,5,1,3
936,1,2,1,2,3,1,1
937,1,2,1,2,5,3,6
938,1,1,1,3,1,5,2
939,1,2,1,1,1,5,2
940,1,1,2,1,3,4,4
941,1,2,3,4,5,2,4
942,1,1,2,2,4,2,2
943,1,2,2,3,2,5,3
944,1,2,2,1,5,4,6
945,1,1,2,2,2,3,5
946,1,2,3,1,5,3,7
947,1,1,2,1,4,3,1
948,1,1,3,3,5,5,6
949,1,2,1,1,5,6,1
950,1,2,1,4,5,5,3
951,1,1,3,4,2,4,7
952,1,1,2,1,3,5,4
953,1,2,3,3,1,2,7
954,1,2,3,2,4,4,4
955,1,2,2,3,3,4,1
956,1,2,3,4,1,2,4
957,1,1,3,3,4,2,1
958,1,1,3,4,2,6,3
959,1,2,3,1,4,1,7
960,1,2,3,1,2,3,4
961,1,1,3,2,1,5,2
962,1,1,3,1,2,4,6
963,1,2,1,3,5,2,5
964,1,1,2,2,3,2,2
965,1,2,2,1,5,4,3
966,1,2,2,2,1,4,1
967,1,2,3,2,4,6,7
968,1,2,1,1,2,1,2
969,1,2,1,2,5,2,5
970,1,1,1,4,1,2,7
971,1,1,3,1,5,4,4
972,1,2,3,2,4,5,1
973,1,2,2,2,1,1,6
974,1,2,1,3,5,6,2
975,1,1,3,2,3,6,2
976,1,1,3,3,1,3,6
977,1,2,2,1,1,2,7
978,1,1,3,2,5,6,5
979,1,1,1,3,3,5,1
980,1,1,1,3,2,6,1
981,1,2,3,1,3,6,3
982,1,2,1,3,5,6,3
983,1,2,2,3,1,3,5
984,1,1,2,4,4,4,2
985,1,1,2,1,5,4,6
986,1,1,3,1,4,4,3
987,1,2,1,2,1,4,1
988,1,2,1,3,3,4,4
989,1,1,3,2,1,2,5
990,1,2,2,4,1,1,7
991,1,1,2,2,3,1,6
992,1,1,2,2,1,5,1
993,1,1,2,1,5,1,4
994,1,2,3,3,3,2,2
995,1,1,1,3,5,6,3
996,1,1,2,4,3,5,2
997,1,1,1,2,5,2,3
998,1,1,2,3,3,4,1
999,1,1,1,2,3,5,4
1000,1,1,1,1,3,5,4
1001,1,1,1,3,4,4,2
1002,1,2,3,4,4,1,4
1003,1,1,3,4,4,6,5
1004,1,1,1,4,1,5,6
1005,1,1,3,2,5,6,2
1006,1,1,1,2,1,6,1
1007,1,2,1,3,2,1,7
1008,1,1,3,3,3,2,1
1009,1,2,2,1,3,3,1
1010,1,1,2,3,3,6,3
1011,1,1,1,1,3,4,1
1012,1,1,2,3,5,3,7
1013,1,1,2,4,3,6,5
1014,1,2,1,1,1,3,4
1015,1,2,1,2,1,3,5
1016,1,2,1,4,2,4,7
1017,1,2,2,1,5,1,4
1018,1,1,1,2,1,6,3
1019,1,1,1,2,4,4,1
1020,1,2,3,1,4,6,3
1021,1,2,1,1,3,3,3
1022,1,2,3,1,5,5,7
1023,1,1,3,2,2,1,1
1024,1,1,1,4,4,1,5
1025,1,1,3,2,3,4,6
1026,1,1,2,4,5,4,3
1027,1,1,1,1,1,6,7
1028,1,1,2,3,1,1,5
1029,1,2,3,1,5,1,3
1030,1,2,1,4,2,1,6
1031,1,1,3,1,5,1,7
1032,1,1,1,2,3,3,4
1033,1,2,1,1,5,5,5
1034,1,2,2,3,4,2,5
1035,1,2,1,3,1,1,7
1036,1,1,1,3,1,4,1
1037,1,1,2,4,3,1,4
1038,1,1,2,1,2,4,2
1039,1,1,2,1,5,4,3
1040,1,2,1,1,1,5,1
1041,1,2,3,1,4,5,3
1042,1,1,2,4,1,1,6
1043,1,2,2,3,5,6,3
1044,1,1,3,1,3,4,3
1045,1,1,1,3,5,1,5
1046,1,2,3,4,3,5,3
1047,1,2,1,2,5,2,3
1048,1,2,3,4,4,4,7
1049,1,2,3,1,1,6,7
1050,1,1,3,2,3,3,7
1051,1,1,2,4,5,4,4
1052,1,2,2,3,1,3,1
1053,1,1,3,2,5,6,4
1054,1,1,2,4,5,4,2
1055,1,1,1,4,3,2,7
1056,1,1,1,2,4,2,5
1057,1,1,1,1,5,6,5
1058,1,1,3,4,3,1,4
1059,1,1,2,3,1,1,1
1060,1,1,2,1,4,3,1
1061,1,2,3,3,4,6,1
1062,1,1,3,2,5,2,5
1063,1,1,3,2,5,1,6
1064,1,1,1,1,5,3,6
1065,1,1,1,2,3,2,6
1066,1,2,3,2,5,3,7
1067,1,2,1,4,2,1,1
1068,1,1,1,3,5,5,1
1069,1,1,1,4,5,2,7
1070,1,2,1,3,5,1,6
1071,1,2,2,2,1,3,5
1072,1,2,1,3,5,2,1
1073,1,2,1,3,5,6,5
1074,1,1,1,2,5,5,5
1075,1,2,2,4,4,2,4
1076,1,2,3,4,5,2,4
1077,1,1,3,3,3,4,2
1078,1,2,1,2,3,2,4
1079,1,2,3,2,1,3,6
1080,1,1,1,4,3,6,6
1081,1,1,1,4,2,4,3
1082,1,2,1,2,2,2,5
1083,1,2,1,3,4,6,1
1084,1,1,2,1,1,1,5
1085,1,1,3,4,3,3,6
1086,1,1,2,3,1,1,7
1087,1,2,3,2,3,5,1
1088,1,2,1,1,3,3,2
1089,1,2,2,1,5,2,6
1090,1,1,3,2,5,3,2
1091,1,2,2,4,5,1,5
1092,1,2,3,2,4,5,5
1093,1,1,3,3,1,6,7
1094,1,2,3,4,5,5,1
1095,1,1,1,3,2,5,4
1096,1,2,1,2,4,3,7
1097,1,2,2,3,1,5,5
1098,1,2,1,1,3,1,6
1099,1,1,1,2,1,1,7
1100,1,2,1,2,1,2,2
1101,1,2,2,3,3,5,3
1102,1,1,3,2,1,1,4
1103,1,2,2,4,1,4,5
1104,1,2,1,2,4,6,5
1105,1,1,2,4,5,3,5
1106,1,2,1,2,1,2,3
1107,1,2,3,3,3,4,1
1108,1,2,3,2,5,2,2
1109,1,2,2,3,1,5,4
1110,1,1,3,1,2,5,6
1111,1,2,1,3,4,1,6
1112,1,2,2,4,2,6,4
1113,1,1,3,4,2,3,1
1114,1,1,3,1,5,3,2
1115,1,1,2,3,4,3,1
1116,1,1,1,3,1,3,1
1117,1,2,1,2,2,3,3
1118,1,2,3,3,5,2,1
1119,1,2,3,3,2,1,3
1120,1,1,3,4,4,2,6
1121,1,1,1,4,5,5,6
1122,1,1,3,4,4,6,6
1123,1,1,1,4,4,4,4
1124,1,1,2,1,3,2,2
1125,1,1,3,4,3,1,6
1126,1,2,3,3,3,5,6
1127,1,1,3,1,3,4,1
1128,1,2,2,4,1,5,4
1129,1,2,2,4,1,1,6
1130,1,2,3,2,4,1,2
1131,1,2,3,1,1,6,4
1132,1,2,1,1,2,5,7
1133,1,2,3,1,1,1,2
1134,1,2,1,3,5,5,3
1135,1,2,2,3,2,3,7
1136,1,2,3,2,2,6,3
1137,1,1,1,3,2,2,4
1138,1,2,1,3,4,3,1
1139,1,1,2,4,1,5,1
1140,1,2,3,3,2,2,5
1141,1,2,3,3,3,5,1
1142,1,1,2,3,5,6,5
1143,1,1,2,2,1,1,4
1144,1,1,3,3,3,3,1
1145,1,1,2,2,2,6,4
1146,1,1,1,4,1,3,3
1147,1,1,3,1,3,2,4
1148,1,1,2,4,4,3,5
1149,1,1,2,1,5,1,1
1150,1,1,1,3,4,5,6
1151,1,2,3,3,3,2,3
1152,1,2,2,3,4,2,7
1153,1,1,1,1,4,3,7
1154,1,1,2,1,1,2,7
1155,1,2,2,2,5,4,1
1156,1,1,2,1,1,6,4
1157,1,2,2,1,2,5,7
1158,1,2,3,2,3,5,4
1159,1,1,3,2,4,6,7
1160,1,2,3,2,1,5,2
1161,1,2,1,3,1,4,3
1162,1,1,3,1,2,2,2
1163,1,2,1,4,3,6,4
1164,1,2,2,3,2,2,7
1165,1,2,3,3,2,2,1
1166,1,1,3,4,5,4,6
1167,1,1,1,3,2,1,1
1168,1,2,2,4,3,5,4
1169,1,2,2,2,3,3,2
1170,1,1,1,3,5,5,5
1171,1,2,3,3,3,1,4
1172,1,2,2,4,3,5,6
1173,1,2,1,1,3,3,7
1174,1,1,1,3,1,3,3
1175,1,2,3,4,1,4,2
1176,1,2,3,4,5,5,2
1177,1,1,1,4,4,1,3
1178,1,1,1,1,4,2,7
1179,1,2,2,1,3,5,7
1180,1,2,3,3,4,1,7
1181,1,2,1,1,2,2,1
1182,1,2,1,1,5,1,4
1183,1,1,2,1,1,5,4
1184,1,2,3,2,5,3,1
1185,1,2,3,2,1,5,7
1186,1,2,3,3,4,1,3
1187,1,1,1,2,3,5,1
1188,1,1,1,3,1,5,4
1189,1,1,2,2,2,1,6
1190,1,2,3,1,5,3,3
1191,1,1,1,2,1,2,3
1192,1,2,3,2,2,5,3
1193,1,2,1,3,2,4,7
1194,1,2,1,2,2,6,2
1195,1,2,2,2,5,4,4
1196,1,1,1,3,3,2,2
1197,1,1,3,4,2,6,2
1198,1,2,1,4,4,2,4
1199,1,2,1,2,3,3,2
1200,1,1,3,1,4,3,2
1201,1,1,1,4,4,2,5
1202,1,2,2,4,4,1,4
1203,1,1,2,3,1,2,2
1204,1,1,2,2,1,1,3
1205,1,2,3,2,2,1,1
1206,1,1,2,4,2,5,7
1207,1,2,1,3,3,6,4
1208,1,2,2,1,4,1,2
1209,1,1,2,2,4,3,1
1210,1,2,1,3,1,6,1
1211,1,2,1,4,2,3,3
1212,1,1,2,2,3,5,6
1213,1,2,2,4,1,2,4
1214,1,2,2,4,5,2,3
1215,1,1,3,2,2,3,1
1216,1,2,2,3,5,3,4
1217,1,2,3,2,5,6,1
1218,1,1,1,2,5,1,5
1219,1,1,1,4,2,6,4
1220,1,2,3,1,5,4,6
1221,1,2,1,4,1,3,2
1222,1,1,1,1,4,3,5
1223,1,1,2,1,4,3,2
1224,1,1,3,1,3,4,7
1225,1,1,3,1,2,5,3
1226,1,1,1,2,1,4,1
1227,1,2,1,1,2,2,4
1228,1,1,3,1,1,6,1
1229,1,2,1,2,1,5,2
1230,1,2,1,2,3,5,2
1231,1,2,1,3,5,2,6
1232,1,2,2,1,1,1,6
1233,1,1,3,4,3,4,6
1234,1,2,1,1,4,2,1
1235,1,1,2,1,4,4,2
1236,1,2,2,3,2,2,4
1237,1,1,2,4,1,3,2
1238,1,2,2,4,4,1,5
1239,1,2,3,2,3,4,1
1240,1,2,1,4,3,1,4
1241,1,2,2,1,1,3,5
1242,1,1,2,3,2,4,5
1243,1,1,3,3,3,1,4
1244,1,1,3,3,3,4,7
1245,1,2,2,2,5,1,4
1246,1,2,3,1,4,4,3
1247,1,1,1,2,3,6,2
1248,1,1,3,3,2,4,5
1249,1,1,2,1,1,6,2
1250,1,2,3,1,3,3,2
1251,1,1,1,2,3,5,6
1252,1,1,3,4,3,5,3
1253,1,2,2,1,5,2,5
1254,1,1,1,3,1,2,1
1255,1,1,1,2,1,5,1
1256,1,2,3,4,4,4,1
1257,1,2,1,3,5,1,4
1258,1,1,2,3,5,5,3
1259,1,2,2,2,4,2,6
1260,1,1,1,4,2,3,2
1261,1,1,1,1,5,4,4
1262,1,2,2,3,4,5,7
1263,1,2,1,4,5,6,2
1264,1,2,3,1,4,5,3
1265,1,1,1,4,5,2,6
1266,1,1,3,2,1,5,3
1267,1,1,2,1,2,5,6
1268,1,1,2,1,2,5,4
1269,1,2,1,1,3,1,2
1270,1,2,3,3,1,6,5
1271,1,1,1,1,2,2,7
1272,1,2,3,4,4,5,6
1273,1,2,1,4,2,3,3
1274,1,2,2,1,2,3,5
1275,1,2,3,3,5,6,4
1276,1,2,2,2,2,1,1
1277,1,2,1,1,4,6,3
1278,1,2,3,3,5,5,1
1279,1,1,2,3,2,3,3
1280,1,1,3,2,2,1,7
1281,1,2,1,4,1,2,4
1282,1,1,2,1,1,1,7
1283,1,1,3,4,4,1,4
1284,1,1,3,1,3,5,3
1285,1,1,1,4,5,2,4
1286,1,2,3,1,2,3,3
1287,1,1,1,1,1,5,5
1288,1,1,2,3,1,6,2
1289,1,1,3,1,1,6,7
1290,1,1,3,1,2,3,7
1291,1,1,3,2,4,5,5
1292,1,1,2,2,4,5,4
1293,1,2,2,1,3,1,1
1294,1,1,1,3,1,4,5
1295,1,1,2,3,2,1,5
1296,1,1,1,4,5,6,6
1297,1,2,2,1,3,5,3
1298,1,1,2,1,5,3,7
1299,1,2,1,4,1,2,3
1300,1,2,3,3,2,4,1
1301,1,1,3,1,3,1,7
1302,1,2,3,1,4,3,3
1303,1,1,3,4,5,1,5
1304,1,2,3,4,1,5,4
1305,1,1,3,1,4,1,6
1306,1,2,1,1,4,2,3
1307,1,2,3,4,4,1,7
1308,1,1,3,1,1,3,2
1309,1,2,2,4,1,3,2
1310,1,2,1,3,1,5,2
1311,1,2,2,1,4,1,1
1312,1,1,3,2,3,5,6
1313,1,2,1,1,2,5,1
1314,1,2,3,3,5,3,6
1315,1,2,3,3,3,4,6
1316,1,1,3,4,3,6,2
1317,1,1,1,3,3,4,2
1318,1,2,1,3,2,5,6
1319,1,2,3,3,2,3,4
1320,1,2,1,2,3,5,5
1321,1,2,3,1,4,1,6
1322,1,1,2,2,4,2,4
1323,1,2,3,1,1,1,7
1324,1,1,2,3,5,5,5
1325,1,1,2,3,5,1,7
1326,1,1,1,2,2,2,1
1327,1,1,2,2,4,3,5
1328,1,2,2,1,5,2,4
1329,1,1,1,4,3,3,7
1330,1,1,2,1,3,5,2
1331,1,2,3,2,4,1,4
1332,1,2,1,4,1,6,4
1333,1,2,3,1,1,2,4
1334,1,2,3,4,4,5,1
1335,1,1,2,1,1,3,7
1336,1,1,2,3,1,3,2
1337,1,1,2,3,2,2,7
1338,1,2,2,4,2,3,5
1339,1,2,3,4,1,4,6
1340,1,1,2,3,2,3,1
1341,1,1,3,2,2,2,3
1342,1,1,3,1,4,1,6
1343,1,1,3,4,2,2,4
1344,1,2,2,2,1,1,5
1345,1,2,3,4,2,2,7
1346,1,2,1,4,5,1,4
1347,1,2,1,3,4,5,7
1348,1,1,2,2,4,1,5
1349,1,2,1,2,1,5,6
1350,1,2,1,1,3,3,6
1351,1,1,2,4,5,5,5
1352,1,1,3,4,2,3,6
1353,1,2,2,2,4,3,7
1354,1,2,2,3,2,5,5
1355,1,2,2,4,5,6,1
1356,1,2,2,1,3,5,5
1357,1,2,2,1,2,2,3
1358,1,1,3,1,3,2,3
1359,1,1,3,2,5,4,1
1360,1,1,3,3,4,1,2
1361,1,2,1,1,3,1,5
1362,1,1,3,3,4,5,5
1363,1,1,1,3,3,5,7
1364,1,1,2,1,2,5,6
1365,1,2,1,2,5,4,5
1366,1,2,2,3,4,1,4
1367,1,2,1,4,2,5,4
1368,1,1,3,4,2,3,6
1369,1,1,3,2,5,6,7
1370,1,2,1,3,5,1,5
1371,1,1,3,1,5,6,4
1372,1,2,3,2,1,1,7
1373,1,1,2,3,2,5,5
1374,1,2,2,2,2,2,6
1375,1,1,3,2,5,5,3
1376,1,1,1,3,1,4,3
1377,1,1,1,1,4,3,5
1378,1,2,2,2,1,3,6
1379,1,2,3,3,5,4,4
1380,1,2,2,4,1,5,3
1381,1,1,1,3,3,5,1
1382,1,2,2,4,4,3,6
1383,1,1,1,2,5,2,6
1384,1,1,3,3,4,6,1
1385,1,2,1,4,3,4,3
1386,1,2,3,4,3,1,2
1387,1,2,1,4,5,1,6
1388,1,2,3,1,5,4,4
1389,1,1,1,1,5,5,6
1390,1,1,2,2,5,4,6
1391,1,2,3,4,1,3,4
1392,1,2,2,1,1,3,6
1393,1,1,1,4,5,6,5
1394,1,2,2,1,3,1,3
1395,1,2,2,1,5,4,5
1396,1,2,3,1,5,1,2
1397,1,1,3,2,3,6,1
1398,1,1,2,4,3,5,6
1399,1,2,2,1,5,1,4
1400,1,2,1,1,3,5,4
1401,1,2,2,1,3,5,5
1402,1,2,2,3,3,6,3
1403,1,1,3,3,4,3,4
1404,1,1,3,1,5,3,1
1405,1,1,2,2,1,2,2
1406,1,2,2,1,3,3,5
1407,1,1,1,3,5,5,7
1408,1,2,1,2,5,4,3
1409,1,2,1,1,1,6,5
1410,1,1,3,2,1,1,5
1411,1,1,1,1,2,3,1
1412,1,1,3,4,1,5,2
1413,1,1,3,4,1,1,5
1414,1,1,3,3,5,1,6
1415,1,2,1,3,2,5,7
1416,1,2,3,3,4,2,4
1417,1,2,1,1,3,1,5
1418,1,2,3,3,2,1,1
1419,1,2,3,1,5,5,4
1420,1,2,1,2,5,2,6
1421,1,2,1,4,3,3,4
1422,1,1,3,2,4,3,5
1423,1,1,3,2,2,4,3
1424,1,2,3,4,2,1,3
1425,1,1,1,1,5,4,7
1426,1,2,3,1,3,3,6
1427,1,1,1,3,5,3,5
1428,1,1,2,3,4,1,2
1429,1,1,2,1,4,6,6
1430,1,2,1,4,4,4,5
1431,1,2,3,3,5,1,2
1432,1,1,2,1,3,6,2
1433,1,1,2,1,4,2,6
1434,1,1,3,1,5,2,5
1435,1,1,1,3,1,4,1
1436,1,1,3,2,2,1,6
1437,1,2,1,4,2,1,4
1438,1,2,2,3,2,2,1
1439,1,1,2,3,5,1,7
1440,1,1,1,4,5,4,1
1441,1,1,3,4,3,1,6
1442,1,1,1,2,3,3,6
1443,1,2,3,1,5,2,1
1444,1,1,2,2,2,2,2
1445,1,2,3,3,2,1,6
1446,1,2,2,2,4,2,2
1447,1,1,2,2,1,2,1
1448,1,2,2,1,5,6,6
1449,1,2,1,2,4,1,5
1450,1,1,2,1,5,2,7
1451,1,1,3,2,4,3,3
1452,1,2,1,1,5,5,1
1453,1,2,1,4,3,3,1
1454,1,1,1,1,4,5,3
1455,1,1,2,2,5,5,3
1456,1,1,2,2,2,6,1
1457,1,1,3,4,5,4,7
1458,1,2,3,2,2,5,7
1459,1,1,1,1,1,2,1
1460,1,1,1,4,1,3,1
1461,1,2,1,4,1,2,4
1462,1,1,3,3,5,3,5
1463,1,2,2,1,5,3,3
1464,1,2,1,3,4,6,3
1465,1,1,1,4,1,3,5
1466,1,1,2,4,5,6,5
1467,1,1,2,3,1,1,1
1468,1,1,1,1,4,6,1
1469,1,2,3,1,4,1,5
1470,1,2,3,4,3,2,6
1471,1,1,3,3,1,6,2
1472,1,2,2,3,4,1,7
1473,1,2,2,4,2,5,2
1474,1,1,3,3,3,1,4
1475,1,2,3,2,1,6,4
1476,1,2,2,3,1,4,5
1477,1,2,2,1,2,5,1
1478,1,2,2,4,4,5,4
1479,1,1,1,3,5,1,2
1480,1,2,3,2,5,3,2
1481,1,1,3,3,3,1,3
1482,1,2,3,4,2,3,6
1483,1,2,3,1,1,1,6
1484,1,2,1,3,5,5,6
1485,1,1,2,2,1,6,3
1486,1,1,2,3,5,4,6
1487,1,1,2,4,5,1,2
1488,1,1,1,1,3,2,4
1489,1,1,2,1,4,1,3
1490,1,2,1,1,3,5,2
1491,1,1,2,2,4,4,6
1492,1,1,1,4,5,2,5
1493,1,1,2,3,4,3,2
1494,1,2,3,3,2,5,6
1495,1,2,2,4,3,4,3
1496,1,2,1,1,4,1,2
1497,1,2,2,4,3,3,1
1498,1,1,2,2,4,1,7
1499,1,2,2,1,1,1,6
1500,1,1,2,3,1,3,1
1501,1,1,2,3,5,5,7
1502,1,2,2,4,1,3,2
1503,1,2,3,3,4,3,6
1504,1,1,3,3,5,2,7
1505,1,2,1,1,1,5,7
1506,1,1,2,3,2,3,5
1507,1,2,3,1,1,5,7
1508,1,1,2,4,3,4,3
1509,1,2,3,4,3,5,5
1510,1,2,1,3,5,6,1
1511,1,2,3,1,2,1,2
1512,1,1,3,4,1,6,3
1513,1,1,1,4,4,2,7
1514,1,2,3,2,2,1,5
1515,1,2,3,2,2,4,3
1516,1,2,3,2,1,6,1
1517,1,1,2,3,1,5,2
1518,1,1,2,4,5,3,7
1519,1,2,3,1,2,2,1
1520,1,2,1,2,5,5,6
1521,1,2,3,2,2,5,6
1522,1,1,3,3,3,2,7
1523,1,1,1,1,1,6,1
1524,1,1,2,3,2,1,2
1525,1,1,1,4,1,1,5
1526,1,1,2,3,5,2,4
1527,1,1,3,3,2,3,5
1528,1,2,2,4,5,5,4
1529,1,2,1,4,1,6,3
1530,1,1,1,4,4,6,5
1531,1,1,2,3,1,2,4
1532,1,1,1,1,3,3,6
1533,1,1,1,1,1,2,5
1534,1,1,3,1,3,1,1
1535,1,1,3,1,3,1,1
1536,1,1,2,2,1,4,3
1537,1,1,1,2,3,5,2
1538,1,2,3,4,4,3,2
1539,1,2,2,4,3,5,1
1540,1,2,1,2,4,3,4
1541,1,2,2,4,4,2,7
1542,1,2,2,2,4,1,2
1543,1,1,3,1,2,1,7
1544,1,2,2,2,3,6,7
1545,1,2,1,2,5,3,1
1546,1,1,2,3,1,4,3
1547,1,1,2,3,3,3,2
1548,1,2,1,1,3,3,1
1549,1,2,3,4,1,3,2
1550,1,2,2,2,3,5,5
1551,1,1,2,4,5,2,6
1552,1,1,2,1,3,4,5
1553,1,2,3,1,4,3,5
1554,1,1,1,1,4,6,7
1555,1,1,3,3,1,4,3
1556,1,2,3,3,3,1,4
1557,1,2,1,2,2,5,3
1558,1,1,2,2,3,4,1
1559,1,1,2,2,5,3,6
1560,1,2,1,1,1,4,6
1561,1,2,3,1,3,6,2
1562,1,1,1,1,1,3,5
1563,1,1,3,4,5,1,6
1564,1,2,2,1,1,2,4
1565,1,2,1,4,2,1,2
1566,1,2,3,2,2,3,2
1567,1,2,2,1,3,4,5
1568,1,1,1,4,3,3,1
1569,1,2,1,3,4,4,3
1570,1,1,2,2,4,4,5
1571,1,2,1,1,1,6,4
1572,1,1,3,3,4,2,5
1573,1,1,1,4,5,5,3
1574,1,2,2,3,1,6,1
1575,1,2,1,3,1,2,5
1576,1,1,3,2,4,1,6
1577,1,1,3,2,2,3,6
1578,1,2,1,4,1,6,5
1579,1,1,3,1,5,5,2
1580,1,1,3,1,3,1,3
1581,1,2,3,1,3,1,2
1582,1,1,3,4,1,3,3
1583,1,1,1,4,3,3,3
1584,1,2,2,1,1,3,6
1585,1,2,2,3,3,4,6
1586,1,2,3,2,1,6,4
1587,1,1,2,4,5,5,7
1588,1,1,3,4,4,1,2
1589,1,2,2,3,2,4,3
1590,1,2,3,1,1,2,4
1591,1,2,3,3,5,1,3
1592,1,2,1,1,4,4,7
1593,1,2,2,1,2,3,2
1594,1,1,3,1,2,2,7
1595,1,2,1,4,3,6,1
1596,1,2,1,3,4,4,2
1597,1,1,2,2,4,1,2
1598,1,1,3,4,5,3,1
1599,1,2,3,2,4,5,1
1600,1,1,2,2,1,4,4
1601,1,2,2,3,1,3,3
1602,1,1,1,1,1,3,4
1603,1,1,1,3,4,4,4
1604,1,2,3,1,5,3,1
1605,1,2,1,3,2,6,1
1606,1,1,1,3,5,3,4
1607,1,1,2,4,3,4,6
1608,1,1,1,3,5,3,6
1609,1,2,2,4,3,6,2
1610,1,2,2,3,1,2,5
1611,1,1,3,2,2,4,2
1612,1,2,1,3,2,6,2
1613,1,2,1,2,4,5,7
1614,1,2,2,1,1,5,5
1615,1,1,1,4,5,5,3
1616,1,1,2,4,4,5,4
1617,1,2,1,2,1,4,7
1618,1,1,1,2,3,3,4
1619,1,2,1,3,4,3,5
1620,1,1,3,4,2,3,3
1621,1,2,2,2,5,3,2
1622,1,1,1,4,5,2,7
1623,1,1,3,4,4,2,3
1624,1,2,3,3,1,5,7
1625,1,2,2,4,5,1,2
1626,1,1,3,2,3,3,4
1627,1,1,2,3,4,1,6
1628,1,2,3,4,2,3,7
1629,1,2,2,4,2,3,1
1630,1,1,1,4,4,3,7
1631,1,1,3,3,2,1,1
1632,1,1,3,3,3,3,4
1633,1,2,3,1,3,1,4
1634,1,1,2,4,2,2,7
1635,1,1,1,3,1,6,7
1636,1,2,3,3,3,1,4
1637,1,2,2,1,3,5,4
1638,1,1,2,1,1,1,3
1639,1,2,1,1,2,4,7
1640,1,1,1,4,4,1,3
1641,1,2,2,3,2,2,6
1642,1,2,3,2,3,6,6
1643,1,1,3,3,3,1,1
1644,1,2,3,3,3,4,6
1645,1,1,1,4,4,1,3
1646,1,1,2,3,4,2,6
1647,1,2,2,2,2,5,7
1648,1,1,1,4,1,2,7
1649,1,2,2,1,1,1,7
1650,1,1,2,3,4,6,2
1651,1,2,2,2,2,3,3
1652,1,2,3,4,1,4,1
1653,1,1,2,1,1,3,7
1654,1,2,1,1,4,2,3
1655,1,1,1,2,2,4,2
1656,1,2,2,2,3,6,6
1657,1,1,3,3,3,5,3
1658,1,2,3,3,5,2,3
1659,1,1,2,4,5,6,4
1660,1,2,2,1,2,5,5
1661,1,2,3,1,2,3,2
1662,1,2,1,4,5,5,6
1663,1,1,1,3,1,2,6
1664,1,1,3,4,2,2,4
1665,1,2,3,1,1,4,7
1666,1,1,3,2,5,2,6
1667,1,2,3,4,1,1,5
1668,1,1,2,2,5,6,4
1669,1,1,1,1,4,5,5
1670,1,1,3,2,2,5,7
1671,1,1,1,4,1,2,2
1672,1,2,2,1,2,3,3
1673,1,1,2,3,2,6,4
1674,1,2,2,3,3,4,7
1675,1,2,3,3,1,3,7
1676,1,2,2,3,3,3,5
1677,1,1,1,4,4,4,3
1678,1,1,2,4,4,2,1
1679,1,2,3,2,3,6,6
1680,1,1,2,4,3,5,6
1681,1,2,3,1,1,4,4
1682,1,2,3,2,4,3,2
1683,1,1,2,4,2,3,5
1684,1,1,1,1,4,3,3
1685,1,2,2,4,1,5,4
1686,1,1,3,4,5,4,3
1687,1,1,3,4,1,2,3
1688,1,2,3,3,3,5,1
1689,1,1,2,3,5,6,1
1690,1,2,2,1,3,2,2
1691,1,2,2,2,1,3,2
1692,1,2,2,1,3,6,7
1693,1,2,1,2,1,2,3
1694,1,2,1,1,5,1,4
1695,1,1,3,3,1,6,3
